Day,V Psalm,V Gospel,M Psalm,M Gospel,Pauline,Catholic,Acts,L Psalm,L Gospel,,,,
5,22 Kiahk,Psalms 34:7-8,Matthew 16:24-28,Psalms 97:7-8,Matthew 18:10-20,Hebrews 2:5-18,1 Peter 1:3-12,Acts 10:21-33,Psalms 138:1-2,Luke 1:26-38,,,,
6,28 Kiahk,"Psalms 50:2,23",Matthew 1:1-17,Psalms 76:1-2,Matthew 1:18-25,Galatians 3:15-4:18,1 John 4:1-14,Acts 13:13-25,Psalms 110:3,Luke 2:1-20,,,,
7,29 Kiahk,Psalms 72:10,Luke 3:23-38,Psalms 72:15,John 1:14-17,Hebrews 1:1-2:4,2 Peter 1:12-17,Acts 13:26-33,Psalms 2:7-8,Matthew 2:1-12,,,,
8,30 Kiahk,Psalms 72:1-2,Matthew 12:15-23,"Psalms 72:11,19",Matthew 22:41-46,Galatians 4:19-5:1,1 John 4:15-5:4,Acts 13:36-43,Psalms 72:17,John 1:1-13,,,,
9,1 Toba,Psalms 5:11-12,Matthew 10:24-33,Psalms 34:19-20,John 12:20-26,2 Corinthians 11:16-12:12,1 Peter 1:25-2:10,Acts 6:1-7:2,"Psalms 21:3,5",Luke 10:1-20,,,,
0,3 Toba,Psalms 115:12-13,Matthew 18:1-7,"Psalms 119:130,141",Matthew 18:10-20,1 Corinthians 13:11-14:4,1 Peter 1:25-2:10,Acts 9:22-30,Psalms 113:1-2,Matthew 2:13-23,,,,
1,4 Toba,"Psalms 19:1,4",John 15:7-16,Psalms 45:1-2,John 1:1-17,Romans 10:4-18,1 John 1:1-2:6,Acts 3:1-16,Psalms 139:17-18,John 21:15-25,,,,
2,6 Toba,Psalms 116:16-19,Luke 2:15-20,Psalms 66:13-15,Luke 2:40-52,Philippians 3:1-12,2 Peter 1:12-21,Acts 15:13-21,"Psalms 50:14,23",Luke 2:21-39,,,,
3,10 Toba,"Psalms 42:2,11",Matthew 4:12-22,Psalms 42:7-8,John 3:22-29,1 Corinthians 1:1-17,2 Peter 1:12-19,Acts 16:25-34,Psalms 45:2,Luke 3:1-18,,,,
4,11 Toba,"Psalms 42:6,11",Matthew 3:1-12,Psalms 29:3-4,Mark 1:1-11,Titus 2:11-3:7,1 John 5:5-21,Acts 18:24-19:6,"Psalms 118:26,28",John 1:18-34,,,,
5,12 Toba,"Psalms 42:1,6",Luke 3:21-22,"Psalms 34:11,5",Matthew 3:13-17,Ephesians 1:1-14,1 Peter 3:15-22,Acts 8:26-39,Psalms 104:1-2,John 1:35-51,,,,
6,13 Toba,Psalms 4:7-8,Matthew 19:1-12,"Psalms 104:15,24",John 4:43-54,Romans 6:3-16,1 John 2:20-25,Acts 8:3-13,Psalms 77:14-16,John 2:1-11,,,,
7,22 Toba,"Psalms 32:11,6;33:1",Matthew 25:14-23,"Psalms 33:1,12",Luke 19:11-19,Philippians 3:20-4:9,James 5:9-20,Acts 11:19-26,Psalms 34:19;68:3,Luke 12:32-44,,,,
8,26 Toba,"Psalms 32:11,6;33:1",Matthew 10:34-42,"Psalms 33:1,12",Luke 6:17-23,Hebrews 12:3-14,1 Peter 4:12-19,Acts 8:3-13,Psalms 34:19-20,Matthew 4:23-5:16,,,,
9,30 Toba,Psalms 68:25-26,Matthew 26:6-13,Psalms 8:2-3,John 4:15-24,Ephesians 5:8-21,1 Peter 3:5-14,Acts 21:5-14,Psalms 45:14-15,Matthew 25:1-13,,,,
0,2 Amshir,"Psalms 32:11,6",Luke 22:24-30,"Psalms 33:1,12",Matthew 25:14-23,Hebrews 13:7-25,1 Peter 5:1-14,Acts 15:12-21,"Psalms 132:9-10,1-2",Mark 9:33-41,,,,
1,13 Baramhat,Psalms 34:19-20,Matthew 16:24-28,Psalms 37:39-40,Mark 13:9-13,2 Corinthians 10:1-18,1 Peter 4:1-11,Acts 12:25-13:12,Psalms 97:11-12,Luke 11:53-12:12,,,,
2,29 Baramhat,"Psalms 144:5,7",Luke 7:36-50,Psalms 72:6-7,Luke 11:20-28,Romans 3:1-31,1 John 1:1-2:6,Acts 7:23-34,Psalms 45:10-11,Luke 1:26-38,,,,
3,23 Baramoda,Psalms 34:17-18,Matthew 10:16-22,Psalms 34:19-20,Mark 8:34-9:1,Romans 8:28-39,1 Peter 4:1-11,Acts 16:16-34,Psalms 97:11-12,Luke 21:12-19,,,,
4,27 Baramoda,Psalms 4:6-8,Matthew 16:24-28,Psalms 5:11-12,Matthew 10:34-42,Romans 8:18-30,1 Peter 3:8-15,Acts 19:23-41,"Psalms 68:35,3",Luke 12:4-12,,,,
5,30 Baramoda,"Psalms 40:9,2",Mark 6:6-13,Psalms 105:1-3,Mark 10:17-30,2 Timothy 3:10-4:18,1 Peter 5:1-14,Acts 15:36-16:5,Psalms 96:1-2,Mark 1:1-11,,,,
6,1 Bashans,"Psalms 87:3,5,7",Luke 10:38-42,"Psalms 48:8,1",Matthew 12:35-50,Hebrews 9:1-12,2 John 1:1-13,Acts 1:1-14,Psalms 45:12-13,Luke 1:39-56,,,,
7,10 Bashans,"Psalms 4:3,6-7",Matthew 11:25-30,Psalms 113:1-2,Mark 10:13-16,Hebrews 11:32-12:2,1 Peter 4:12-19,Acts 19:23-41,Psalms 66:12-14,Matthew 18:10-20,,,,
8,20 Bashans,Psalms 65:4-5,Matthew 24:42-47,"Psalms 37:17-18,29",Mark 13:33-37,1 Corinthians 3:4-23,1 Peter 5:5-14,Acts 18:24-19:6,Psalms 37:30-31,Luke 16:1-12,,,,
